Date,Food ,Mines,Oil  ,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars ,Trans,Utils,Rtail,Finan,Other
196307,  -0.15,  -1.74,   2.30,   1.20,  -0.24,  -1.19,  -0.56,  -0.31,  -1.59,  -2.62,  -1.54,   0.12,  -3.07,   0.80,  -1.11,  -0.65,  -0.17
196308,   4.57,   5.27,   4.26,   4.60,   5.34,   4.60,   8.55,   5.91,   8.31,   3.47,   4.84,   6.90,   6.18,   4.20,   6.55,   4.37,   5.23
196309,  -1.20,  -2.23,  -3.40,  -2.71,  -1.41,  -0.69,  -3.43,  -1.91,   0.29,  -2.91,  -0.24,   0.33,  -4.17,  -2.50,   1.05,  -3.31,   0.56
196310,   2.06,   5.42,   0.10,   4.00,   6.11,   3.73,   2.39,  -1.11,   1.58,  -1.97,   6.34,  10.97,   2.02,  -0.67,   0.45,   0.69,   2.88
196311,  -0.47,   1.20,  -1.37,   0.17,  -0.08,   2.47,  -2.30,  -1.39,  -1.83,  -0.88,  -1.12,  -6.07,   4.19,  -1.02,  -1.15,  -2.33,   1.99
196312,   2.82,   5.75,   4.39,   1.22,   4.54,   4.63,   2.53,  -0.01,   1.51,   1.74,   2.48,  -1.26,   1.40,   2.42,   0.31,   1.63,   0.85
196401,   1.12,   1.69,   5.02,   0.70,   0.19,   3.26,   2.25,   2.56,   4.43,  -0.60,   2.31,   1.18,   3.15,   1.40,   2.75,  -1.16,   3.37
196402,   1.31,   3.52,   0.87,   2.81,   1.33,   2.28,   1.38,   4.56,   2.89,   2.37,   3.43,   3.20,   6.23,   0.87,   1.61,   3.84,   0.55
196403,   2.38,   2.58,   1.86,   0.76,   2.77,   2.36,   1.52,   5.02,   6.97,   5.74,   3.95,   0.16,   2.65,  -0.75,   2.34,   0.69,   0.19
196404,  -1.10,   6.93,   3.80,  -0.55,  -2.04,  -1.16,  -1.00,  -1.11,  -3.57,   0.23,  -2.25,   4.39,  -2.32,   1.06,   3.07,  -0.99,   0.21
196405,   1.65,   0.87,   2.24,   3.81,   2.18,   2.52,   0.33,   0.43,   1.21,   2.03,   3.11,   2.21,   5.28,   0.84,   4.17,  -0.03,  -0.51
196406,   2.20,  -1.47,   0.72,   1.85,  -0.37,  -0.81,   0.70,   1.01,   0.90,   4.67,   0.98,   1.04,   3.44,   2.20,   3.90,  -1.17,   3.14
196407,   1.59,   2.21,   3.43,   4.92,   0.40,   2.17,   3.35,   0.86,   0.62,  -0.12,  -0.31,   5.89,   1.60,   4.91,   1.12,   1.89,  -0.26
196408,  -1.33,   0.07,  -2.00,  -1.35,  -1.75,  -2.40,  -1.67,  -1.38,  -0.07,  -1.56,  -1.97,   2.05,  -3.52,  -0.01,   0.58,  -2.18,  -1.47
196409,   1.94,   8.99,   2.95,   4.10,   7.58,   5.71,   1.30,   0.87,   5.50,   1.86,   1.78,   5.03,   5.06,   1.87,   3.49,   2.48,   1.26
196410,  -0.97,   0.11,   2.19,   4.08,  -1.07,   1.00,   1.57,   1.56,  -2.62,   3.91,  -0.26,   0.55,   2.94,   0.95,   2.36,  -0.69,   1.23
196411,   1.06,   0.47,   2.25,   1.54,   1.68,   2.43,   0.05,  -0.75,  -4.82,   0.61,  -0.26,  -3.11,  -2.40,   1.37,   3.36,  -0.89,  -0.50
196412,   1.10,  -0.30,   0.16,   0.15,   0.41,   0.73,   2.00,  -1.42,  -1.71,  -1.98,  -1.27,   2.18,  -1.95,   0.50,   0.14,  -1.23,   0.96
196501,   5.44,   6.91,   1.34,   7.99,   8.26,   5.65,   6.05,   5.38,   4.91,   4.84,   7.51,   2.89,   4.07,   3.96,   2.92,   2.71,   1.40
196502,   1.36,   3.21,  -3.19,   4.19,   3.39,   0.68,   1.62,   3.87,   2.98,   4.70,   3.71,  -1.78,   3.08,   0.43,   1.31,   1.27,   0.34
196503,  -1.33,  -0.46,  -3.03,   0.83,  -1.02,  -3.14,  -1.48,  -0.07,   0.03,  -1.13,  -1.33,   1.68,   0.07,  -0.52,  -0.92,  -0.28,  -0.59
196504,   3.04,   2.35,   0.82,   6.92,   7.15,   2.13,   3.19,   1.78,   5.21,   6.13,   5.53,   7.91,   2.73,   0.65,   6.95,   2.61,   2.52
196505,  -0.86,  -2.22,   1.05,  -0.23,   0.34,   0.62,  -1.63,  -1.21,  -0.74,  -2.27,  -0.73,  -4.80,  -0.48,  -0.97,   0.31,  -2.36,   1.20
196506,  -4.35,  -8.89,  -2.28,  -8.51,  -5.45,  -5.79,  -5.13,  -6.99,  -6.86,  -5.58,  -6.23,  -6.88,  -7.30,  -3.66,  -6.10,  -4.94,  -4.74
196507,   1.07,   6.19,   1.72,   2.69,   5.79,   0.00,   2.61,   0.83,   3.11,   7.33,   3.31,   1.92,   6.05,   1.06,  -1.71,   1.13,   0.31
196508,   1.97,   3.35,   1.97,   6.32,   8.16,   1.55,   5.58,   2.57,   2.74,   6.97,   5.32,   2.50,   5.46,   0.92,   2.14,   4.59,   2.00
196509,   0.18,   0.50,   3.96,   3.59,   7.94,   4.08,   0.57,   1.79,   2.08,   2.72,   5.07,   5.45,   5.22,   1.39,  -1.04,  -0.15,   3.23
196510,   1.14,   7.30,   2.12,   4.99,   5.36,   3.02,   3.43,   3.23,   5.27,   5.99,   5.29,   7.41,   6.70,   1.05,   0.07,   1.08,   0.24
196511,   0.30,   1.49,   1.13,   5.16,   1.80,  -2.02,   1.62,   0.99,  -4.37,   2.29,   3.23,  -5.51,   9.07,  -1.00,   1.18,   1.04,  -0.61
196512,   1.16,   6.56,   0.17,   1.88,   5.21,   2.42,   2.63,   1.70,   8.10,   1.41,  -0.48,   0.32,   1.07,  -0.31,   1.18,   1.99,   0.58
196601,   0.29,   9.30,   0.86,   6.56,   2.96,  -0.94,   2.65,   4.44,   4.35,   2.50,   1.47,   0.29,   7.46,  -3.02,  -5.13,   0.51,   1.22
196602,  -1.06,   7.12,  -3.60,   1.56,   0.59,  -1.89,  -2.14,  -1.08,  -1.90,   2.12,   3.53,  -1.75,   2.01,  -4.17,  -2.12,  -2.09,   0.10
196603,  -2.53,  -3.28,  -1.61,  -3.98,   2.93,  -4.60,  -1.04,  -3.15,  -2.30,  -5.25,  -0.59,  -5.32,  -1.87,  -0.14,  -2.07,  -4.09,  -3.86
196604,  -0.49,   2.62,   2.89,   1.71,   6.67,   0.39,  -0.78,  -0.43,   1.73,   4.37,   5.02,  -2.56,   4.55,   1.19,   2.63,   1.30,   4.10
196605,  -3.95,  -6.93,  -3.32,  -8.34,  -8.04,  -4.57,  -3.79,  -6.01,  -7.91,  -6.13,  -5.80,  -7.12,  -9.21,  -2.73,  -2.45,  -3.89,  -4.95
196606,  -2.42,  -2.05,  -2.19,  -1.96,   0.07,  -3.99,  -0.21,  -1.88,  -0.89,   0.21,  -0.75,  -2.75,   2.51,  -1.78,  -2.62,  -2.13,   0.53
196607,  -0.76,   0.40,   0.65,  -3.63,  -3.47,  -1.14,  -0.39,  -1.33,  -4.08,  -0.35,  -2.54,  -0.08,  -3.92,  -0.18,  -1.82,  -2.07,  -0.76
196608,  -6.16,  -9.25,  -6.33, -10.05,  -9.51,  -9.06,  -5.92,  -9.92,  -7.49,  -9.27,  -6.20,  -7.55, -11.58,  -8.59,  -6.00,  -8.82,  -6.11
196609,  -1.26,  -1.85,   3.88,  -4.60,  -5.06,  -7.52,  -0.39,  -2.06,  -2.29,  -0.75,  -3.04,   0.84,  -2.71,   4.36,  -2.05,  -0.05,  -0.23
196610,   7.83,  -1.60,   7.81,  -4.55,   2.51,   1.91,   4.77,   1.38,   6.77,   0.76,   0.97,  -0.97,  -0.70,   9.94,  -1.52,  10.42,   6.16
196611,   2.79,   9.37,  -1.25,   0.63,   6.92,  -1.83,   5.18,   3.71,  -0.26,  -0.94,   9.01,  -6.18,  11.67,  -1.36,   0.22,   3.04,   0.10
196612,  -0.20,   2.83,  -0.41,   0.88,  -1.66,   2.22,  -1.34,   2.95,   3.26,   5.38,   0.12,  -1.08,   1.33,   2.10,  -4.57,   3.48,   1.35
196701,   6.70,  12.03,   3.20,  12.18,   7.92,  11.47,   6.97,  15.42,  15.43,   6.98,  10.76,  15.36,  11.91,   2.84,  11.44,   9.05,   8.35
196702,   1.82,  -0.87,  -0.25,   3.57,   4.07,  -0.52,   0.90,   1.52,  -3.40,   1.67,   4.46,  -1.12,   0.00,  -1.72,   2.67,   0.19,   2.49
196703,   4.00,   5.17,   3.89,   2.99,   2.38,   3.86,   7.95,   8.58,   5.16,  12.93,   7.37,   6.47,   4.88,   1.53,   2.08,   1.26,   3.49
196704,   4.34,   5.73,   1.98,   5.04,   5.60,   6.05,   4.02,   3.19,   3.17,   7.74,   6.95,  10.89,   2.20,   1.88,   9.80,   0.44,   2.03
196705,  -1.96,   1.03,  -2.43,  -1.18,  -6.74,  -5.85,  -4.66,  -4.22,  -1.92,  -1.75,  -3.56,  -6.71,  -1.01,  -4.11,  -5.18,  -2.42,  -4.90
196706,   3.95,   5.43,   3.17,   1.75,   2.28,  -0.36,   5.22,   4.35,   1.47,   4.65,   6.13,   0.38,   4.50,  -1.31,   3.45,   3.76,   1.45
196707,   5.50,  12.32,   7.12,   6.67,   6.12,   4.38,   5.84,   6.90,   7.75,   5.09,   4.46,   8.24,   6.17,   2.33,   5.93,   6.98,   0.58
196708,  -1.46,  -2.82,  -1.66,   3.89,  -0.18,  -0.54,  -0.31,   2.73,   0.75,  -1.94,  -0.34,  -0.40,  -3.12,  -0.65,   0.36,   2.11,  -0.68
196709,   2.28,   6.41,   3.42,   9.14,   4.17,   5.58,   1.56,   3.61,   0.23,   1.67,   8.12,   5.42,  -2.84,  -0.09,   1.95,   3.18,   3.57
196710,  -3.35,  -5.68,  -1.49,  -1.05,  -0.37,  -6.50,  -2.79,  -5.26, -10.04,  -7.53,   2.15,  -4.96,  -7.38,  -5.36,   0.77,  -4.03,  -1.88
196711,   0.61,   0.80,   1.30,   0.98,   2.17,  -2.74,   0.54,  -1.60,  -0.11,  -1.05,   1.98,   0.24,   0.76,   3.17,   0.80,  -1.44,  -0.25
196712,   2.48,   5.59,   2.76,   4.55,   0.90,   5.75,   4.04,   6.63,   4.77,   3.05,   2.47,   3.04,   3.12,   3.28,   2.70,   7.31,   3.47
196801,  -0.98,  -2.35,  -0.44,   1.60,  -9.44,  -5.12,  -7.59,  -0.46,  -4.75,  -2.60,  -7.82,  -4.48,  -7.99,   0.20,   0.97,   2.98,  -1.80
196802,  -2.26,  -1.39,  -2.53,  -3.76,  -3.35,  -4.41,  -2.41,  -3.88,  -4.21,  -0.97,  -4.14,  -2.95,  -3.62,  -1.48,  -0.07,  -2.95,  -4.54
196803,   0.56,  -0.36,   1.60,   1.35,   3.31,  -0.50,   0.90,   0.04,  -0.69,  -3.34,   3.56,   0.02,  -0.80,  -3.93,   3.20,   0.91,  -0.37
196804,  10.09,   7.16,   5.80,  13.60,  12.01,   7.84,  10.97,  14.94,   7.19,  11.28,  12.31,  11.72,  11.83,   2.49,  12.08,  11.45,   8.25
196805,   5.16,   4.26,   0.54,   6.09,   3.53,  -0.93,   1.73,   5.63,   5.16,   1.90,   4.39,   0.39,   4.70,   0.45,   3.09,   6.67,   2.01
196806,   1.17,   0.12,   2.50,   1.01,  -2.97,   0.91,   2.26,  -1.50,   0.64,   3.16,  -1.39,  -1.09,   0.10,   8.44,   0.40,   7.83,   1.16
196807,  -3.75,  -6.20,   5.39,  -3.47,  -5.30,  -1.18,  -4.17,   0.13,  -6.85,  -4.16,  -4.99,  -2.66,  -5.55,   0.17,  -4.97,   0.82,  -1.98
196808,   2.70,  -1.72,   1.40,   6.78,   2.77,   2.71,   0.21,   7.70,   1.69,   1.33,   0.95,   1.27,   0.53,  -0.87,   2.43,   5.70,   2.41
196809,   4.00,   4.22,   3.34,   5.57,   3.19,   7.02,   1.40,   5.05,   7.78,   3.54,   3.22,   7.55,   7.98,   0.27,   7.79,   9.22,   4.49
196810,   0.37,  -1.38,   2.37,   1.89,   0.89,   2.16,   1.03,  -1.41,   2.87,   4.08,  -3.95,   4.31,  -0.74,   0.49,   0.42,   3.02,   2.27
196811,   5.54,   9.65,   6.02,   4.87,   6.44,   4.79,   6.81,   6.11,   5.37,   6.53,   7.82,  -2.87,   8.08,   8.79,   4.59,   6.44,   5.58
196812,  -1.49,   2.57,  -2.20,  -2.34,  -5.90,  -2.71,  -2.56,  -1.60,   0.69,   0.84,  -4.75,  -4.33,  -3.37,  -2.88,  -4.53,  -6.24,  -4.92
196901,  -0.72,  -2.48,  -1.16,  -2.34,  -0.41,  -1.61,   0.49,  -1.45,   2.82,  -1.98,  -3.69,  -2.08,   0.71,   2.41,  -0.89,   0.07,  -0.53
196902,  -5.60,  -6.98,  -5.32,  -8.83,  -5.50,  -5.63,  -5.17,  -5.99,  -8.49,  -3.82,  -3.69,  -2.11,  -8.26,  -5.20,  -3.26,  -8.79,  -4.49
196903,   1.13,  -1.58,   7.26,  -0.90,   2.36,   0.10,   2.24,   3.95,   2.90,   3.13,   5.71,   4.71,  -2.16,  -1.29,   5.50,   3.56,   2.90
196904,   2.02,  -0.14,  -0.04,  -0.84,   4.55,  -1.05,   4.33,   1.69,   0.59,  -0.38,   2.75,  -0.33,  -1.98,   1.34,   3.88,   2.91,   4.40
196905,   1.77,   1.69,   4.04,  -0.64,  -0.89,  -0.85,   2.42,   0.02,  -2.89,   0.62,  -1.43,   0.91,  -3.50,   0.02,   0.86,  -1.19,   0.03
196906,  -6.35, -12.54,  -9.67,  -9.40,  -2.54,  -7.67,  -4.62, -11.70, -10.31,  -8.46,  -0.98,  -5.83,  -8.81,  -5.74,  -4.48, -10.28,  -7.59
196907,  -5.62,  -8.48,  -9.26,  -9.49,  -4.33,  -3.97,  -2.76,  -7.26,  -6.52,  -6.13,  -5.66,  -7.85, -12.60,  -2.98,  -8.30,  -8.69,  -6.04
196908,   5.00,   5.06,   6.71,   3.28,   4.18,   3.09,   7.25,   8.34,   0.39,   6.28,   6.47,   3.47,   5.73,  -1.29,   8.28,  10.58,   4.75
196909,   0.79,   1.74,  -9.53,  -2.86,  -0.21,  -5.55,   1.35,  -4.27,  -1.04,   2.32,  -0.55,  -1.03,  -2.52,  -4.14,  -0.75,  -0.74,  -2.15
196910,   8.14,   2.20,  -1.57,   7.06,   5.86,   4.80,   9.67,   7.87,   8.16,   3.32,   5.40,   4.27,   5.56,   8.28,   6.44,   9.09,   6.01
196911,  -2.09,   0.39,  -4.90,  -3.62,  -3.21,  -4.48,  -0.41,  -3.86,  -4.58,  -2.22,  -1.67,  -4.46,  -8.32,  -5.26,  -3.92,  -6.84,  -1.40
196912,  -0.56,  -3.10,  -3.64,  -5.84,  -0.09,  -3.38,   2.56,  -4.37,  -1.30,  -1.09,  -0.65,  -3.79,  -6.94,  -0.65,  -2.93,  -2.28,  -2.70
197001,  -2.63,  -1.56, -11.20,  -4.89,  -7.60,  -6.73,  -5.39,  -9.50,  -5.71,  -4.36,  -8.27,  -8.41,  -9.57,  -4.23,  -5.89,  -9.20,  -7.99
197002,   5.57,   7.12,   4.64,   4.02,  -0.25,   3.65,   4.39,   8.40,  11.01,   4.39,   3.28,   8.19,   8.56,   8.36,   5.49,  11.35,   7.24
197003,  -0.91,  -1.69,  -0.04,  -0.06,  -0.49,   0.84,  -3.58,  -1.48,   0.81,   1.50,  -1.23,   6.04,  -3.16,   2.91,  -1.49,  -0.76,  -0.90
197004, -10.04, -13.51,  -9.45, -11.21,  -8.90,  -3.87,  -8.99, -10.95,  -9.43, -10.59, -12.89,  -8.15, -12.88,  -8.06, -10.46, -12.81, -11.55
197005,  -7.15,  -2.52,   2.82, -10.25,  -9.80,  -2.68,  -5.28,  -9.09,  -9.37,  -9.68,  -9.33,  -5.45,  -7.77,  -5.36,  -9.35,  -8.37,  -6.26
197006,  -0.94,  -1.41,  -2.76,  -4.89,  -5.52,  -1.11,  -0.26,  -6.55,  -6.48,  -0.46,  -9.45,  -3.92, -13.57,  -4.70,  -3.89,  -4.62,  -7.06
197007,   5.70,   2.89,  12.92,   9.37,   5.90,   8.29,   2.78,  10.07,   3.53,   6.35,   1.68,   9.30,   7.08,   8.71,  10.88,   8.85,   8.75
197008,  -0.51,   3.55,   6.44,   5.92,   5.93,   5.41,   1.45,   3.72,   0.00,   5.06,   6.47,   9.35,   8.89,   4.67,   5.14,   5.00,   5.21
197009,   5.02,  10.05,   3.32,   9.20,   6.35,  -1.45,   6.82,   7.56,   4.19,   2.42,   9.55,   1.43,   9.05,  -0.54,   7.23,   5.25,   3.19
197010,   0.82,  -3.27,   2.53,  -2.83,  -1.65,  -4.04,   1.97,  -4.31,  -4.98,  -5.02,  -2.53,  -3.01,  -6.69,  -0.80,  -1.30,  -7.27,  -2.86
