Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
196307,   1.1307,  -0.3091,   0.7079,   0.1062,  -1.3211,  -1.8071,   0.1899,  -1.0105,  -1.9644,  -1.1889,  -2.3521,  -1.6912,  -0.6580,  -2.1306,  -1.7984,  -0.9806,  -1.6781,  -1.9184,  -1.5741,  -1.8567,   0.1547,   0.4833,   1.2286,  -0.5862,  -1.1026
196308,   4.2370,   1.3834,   1.4977,   2.3755,   4.7567,   5.5665,   4.5191,   4.4424,   4.4188,   8.2329,   5.0811,   5.3005,   5.3891,   4.8320,   5.1541,   5.4259,   4.7306,   6.2332,   7.6782,   5.3469,   5.7691,   4.2550,   4.5936,   8.2831,   6.3824
196309,  -2.8878,   0.6263,  -1.0204,  -1.6000,  -0.4320,  -4.0502,  -1.5034,  -0.8798,  -1.1812,  -2.9149,  -4.3205,  -1.9030,  -0.4698,  -0.4495,  -1.8203,  -2.7974,  -2.0801,  -1.7800,  -3.9639,  -1.9943,  -1.3595,  -0.8054,  -0.8135,  -0.2145,  -3.4963
196310,   1.2885,  -0.7071,   1.3132,   0.0855,   2.3988,   1.1916,   4.2342,   2.3524,   2.2012,   3.9335,   2.3965,   0.4261,   2.3757,   2.0540,   1.0680,  -0.3902,   0.6829,   2.6229,   4.8492,   0.6113,   5.3339,   1.7427,  -0.2469,   2.3915,   0.4857
196311,  -3.3751,  -3.7534,  -1.8055,  -1.0487,  -1.0538,  -4.2561,  -1.7534,  -0.7809,  -0.1002,  -0.1132,  -2.9952,  -1.2889,  -0.9685,  -0.8218,  -1.2116,  -0.8798,  -0.6434,  -0.7933,   1.3610,   3.5388,  -1.2556,   1.0072,  -1.7425,  -2.0838,   1.3455
196312,  -2.3514,  -1.0552,  -0.9426,  -1.6532,  -1.1371,  -0.8745,  -0.7563,   1.0243,   0.8901,   0.1212,   0.1627,   1.6403,   0.6901,   1.5968,   0.4665,  -0.1205,   1.2259,   1.7043,   3.2904,   6.1498,   2.6278,   2.3215,   2.1468,   2.5739,   2.1308
196401,   3.9847,   2.9078,   4.2205,   4.1486,   4.8526,  -2.0215,  -0.4940,   3.6379,   1.4763,   4.2346,   0.2315,   0.7072,   3.1367,   3.8630,   3.2152,  -0.3177,   1.8305,   1.0850,   3.6027,   3.3373,   3.1011,   3.1974,   1.6160,   2.0948,   1.6235
196402,   2.9588,   2.8547,   2.2673,   0.2896,   4.4542,   1.6174,   1.7276,   2.6604,   2.1229,   6.1003,   0.1187,   2.6085,   1.6724,   3.7522,   4.0122,   2.4189,   1.6518,   2.8631,   7.1933,   4.6097,   1.8294,   0.5208,   1.2004,   3.8475,   3.7510
196403,   0.5030,   1.5081,   2.2031,   3.5485,   2.8221,   2.3433,   3.2056,   3.3558,   5.6796,   6.1528,  -0.8120,   2.8231,   3.9174,   5.5544,   6.7543,   1.9869,   3.0214,   5.1951,   7.1217,   0.7218,   1.1571,   0.7641,   3.8140,   3.6258,   0.1494
196404,  -1.5627,   2.5881,  -0.4526,  -0.9088,  -0.9224,  -0.9090,  -3.8822,   0.8069,  -1.6136,  -0.6557,  -1.9692,  -1.1113,  -0.0397,  -0.7632,  -1.0221,  -2.6991,   0.3369,   2.0285,  -2.6349,  -2.2799,   0.2344,   1.4746,   0.8109,  -0.9601,   2.4177
196405,  -1.2518,  -1.3145,   0.5391,   0.3478,   1.4297,   3.1453,   0.4094,   3.0152,   1.8542,   3.7386,  -0.5957,   1.6388,  -0.2874,   1.9748,   2.4988,   1.0442,   2.3211,   1.4455,   1.3443,   4.1010,   2.0727,   0.3363,   1.3733,   4.1545,   3.3864
196406,   1.9460,   0.5188,   1.3075,   0.7959,   0.9147,   0.8834,   1.6576,   1.8891,   1.1354,   2.2101,   0.8853,   2.0993,   2.8346,   2.5644,   1.2404,   0.8951,   1.4976,   0.9628,   2.4887,   3.1078,   0.9767,   2.8490,   0.4461,   1.3912,   2.4156
196407,   1.1364,   3.5980,   4.1997,   2.6962,   4.7378,   0.8714,   2.0803,   3.9145,   3.0061,   2.2565,   3.2114,   2.6285,   3.0958,   3.1894,   1.7144,   1.5587,   3.2925,   1.6024,   1.7746,   2.6680,   2.5593,   0.6931,   3.8950,   1.8781,   0.9938
196408,   1.6990,  -2.5452,  -1.7463,  -0.9350,  -0.5052,  -1.8721,  -2.2057,  -1.3777,   0.5325,  -1.8135,  -2.4425,  -0.4268,   0.1871,  -0.1122,  -1.9374,  -1.0819,   0.1208,   1.0304,  -0.0191,  -0.7376,  -1.2776,  -1.5567,  -0.0812,  -0.8938,  -2.9017
196409,   5.4317,   2.9658,   6.2273,   2.7592,   3.9745,   3.3510,   2.6284,   2.1898,   2.3386,   4.6564,   1.7641,   2.0931,   3.4226,   3.0757,   3.6527,   3.1274,   3.3276,   4.2425,   4.8490,   4.3553,   3.0853,   1.3451,   4.2821,   4.5115,   6.8457
196410,   1.9006,   0.1107,   2.7473,   1.9247,   3.3451,  -1.3446,   1.2319,   2.5228,   1.2083,   1.3903,   3.4355,   3.4972,   1.9444,   1.1553,   2.7051,   0.9314,   1.2970,   1.2787,   3.1881,   3.8467,   0.3214,   1.0905,   0.5691,   0.5240,   3.3000
196411,  -0.2983,  -0.2308,   0.7239,   0.6806,   0.5552,  -0.9701,   0.1302,  -0.4432,  -0.3674,  -1.7494,   1.3120,   0.6007,   0.1024,   0.4066,  -0.0521,   0.6580,   1.6450,  -0.8847,  -0.8331,  -4.6769,   1.0411,  -0.3669,   1.6408,  -1.2637,  -4.6690
196412,  -1.4813,  -1.2122,  -2.7168,  -2.6746,  -1.7768,   1.4482,  -0.1777,   0.9792,  -2.4507,  -1.0537,   0.1913,   0.5867,  -0.2673,  -1.6833,  -0.7222,   1.2347,   0.0063,  -1.5398,  -0.9551,  -1.4422,   0.7980,   1.4215,  -0.9502,  -1.0673,  -1.3339
196501,   8.4547,   6.3220,   6.7925,   6.6756,   8.8894,   7.8767,   5.2579,   6.3294,   5.6388,   6.1740,   5.2554,   6.2051,   5.1121,   6.0758,   7.1104,   6.5896,   4.2828,   5.0384,   5.1165,   6.6788,   4.7197,   1.2516,   2.8219,   3.5352,   3.6051
196502,   1.8631,   0.4937,   2.7483,   3.2606,   3.6912,   3.3729,   4.1992,   3.6189,   3.5286,   3.8890,   3.8479,   4.4317,   4.8024,   3.2147,   3.8834,   1.5070,   3.4185,   4.0669,   3.1987,   1.0496,   0.1871,  -0.0379,  -0.1269,  -0.5341,  -1.1896
